base	derivative	probability	sublexicon	[+front]	[+front,+rounded]	[+front,-rounded]	[+front,+high]	[+front,-high]	[+front,+low]	[+front,-low]	[-front]	[-front,+rounded]	[-front,-rounded]	[-front,+high]	[-front,-high]	[+rounded]	[+rounded,+high]	[+rounded,-high]	[-rounded]	[-rounded,+high]	[-rounded,-high]	[-rounded,+low]	[-rounded,-low]	[+high]	[-high]	[-high,-low]	[-low]	[+front]	[+front,+rounded]	[+front,-rounded]	[+front,+high]	[+front,-high]	[+front,+low]	[+front,-low]	[-front]	[-front,+rounded]	[-front,-rounded]	[-front,+high]	[-front,-high]	[+rounded]	[+rounded,+high]	[+rounded,-high]	[-rounded]	[-rounded,+high]	[-rounded,-high]	[-rounded,+low]	[-rounded,-low]	[+high]	[-high]	[-high,-low]	[-low]	F: Ident [front]	F: Ident [rounded]	F: Ident [low]	F: Ident [high]
k e h y s	k e h y s F	1	Insert [F] at -1	2	1	1	1	1	0	2	0	0	0	0	0	1	1	0	1	0	1	0	1	1	1	1	2	3	1	1	1	2	1	2	0	0	0	0	0	1	1	0	1	0	1	0	1	1	2	1	2	0	0	0	0
ä rr ä	ä rr ä F	1	Insert [F] at -1	2	0	2	0	2	2	0	0	0	0	0	0	0	0	0	2	0	2	2	0	0	2	0	0	3	0	2	0	3	3	0	0	0	0	0	0	0	0	0	2	0	2	2	0	0	3	0	0	0	0	0	0
k r ei v i	k r ei v i F	1	Insert [F] at -1	3	0	3	2	1	0	3	0	0	0	0	0	0	0	0	3	2	1	0	3	2	1	1	3	4	0	3	2	2	1	3	0	0	0	0	0	0	0	0	3	2	1	0	3	2	2	1	3	0	0	0	0
j ä s t i	j ä s t i F	1	Insert [F] at -1	2	0	2	1	1	1	1	0	0	0	0	0	0	0	0	2	1	1	1	1	1	1	0	1	3	0	2	1	2	2	1	0	0	0	0	0	0	0	0	2	1	1	1	1	1	2	0	1	0	0	0	0
r ö n kk ö	r ö n kk ö F	1	Insert [F] at -1	2	2	0	0	2	0	2	0	0	0	0	0	2	0	2	0	0	0	0	0	0	2	2	2	3	2	0	0	3	1	2	0	0	0	0	0	2	0	2	0	0	0	0	0	0	3	2	2	0	0	0	0
r y s äy s	r y s äy s F	1	Insert [F] at -1	3	2	1	2	1	1	2	0	0	0	0	0	2	2	0	1	0	1	1	0	2	1	0	2	4	2	1	2	2	2	2	0	0	0	0	0	2	2	0	1	0	1	1	0	2	2	0	2	0	0	0	0
p l a t y	p l a t y F	1	Insert [F] at -1	1	1	0	1	0	0	1	1	0	1	0	1	1	1	0	1	0	1	1	0	1	1	0	1	2	1	0	1	1	1	1	1	0	1	0	1	1	1	0	1	0	1	1	0	1	2	0	1	0	0	0	0
s ä r kk ä	s ä r kk ä F	1	Insert [F] at -1	2	0	2	0	2	2	0	0	0	0	0	0	0	0	0	2	0	2	2	0	0	2	0	0	3	0	2	0	3	3	0	0	0	0	0	0	0	0	0	2	0	2	2	0	0	3	0	0	0	0	0	0
k ei h ä s	k ei h ä s F	1	Insert [F] at -1	3	0	3	1	2	1	2	0	0	0	0	0	0	0	0	3	1	2	1	2	1	2	1	2	4	0	3	1	3	2	2	0	0	0	0	0	0	0	0	3	1	2	1	2	1	3	1	2	0	0	0	0
s y v äy s	s y v äy s F	1	Insert [F] at -1	3	2	1	2	1	1	2	0	0	0	0	0	2	2	0	1	0	1	1	0	2	1	0	2	4	2	1	2	2	2	2	0	0	0	0	0	2	2	0	1	0	1	1	0	2	2	0	2	0	0	0	0
r ä m e	r ä m e F	1	Insert [F] at -1	2	0	2	0	2	1	1	0	0	0	0	0	0	0	0	2	0	2	1	1	0	2	1	1	3	0	2	0	3	2	1	0	0	0	0	0	0	0	0	2	0	2	1	1	0	3	1	1	0	0	0	0
n ei t i	n ei t i F	1	Insert [F] at -1	3	0	3	2	1	0	3	0	0	0	0	0	0	0	0	3	2	1	0	3	2	1	1	3	4	0	3	2	2	1	3	0	0	0	0	0	0	0	0	3	2	1	0	3	2	2	1	3	0	0	0	0
m öy kk y	m öy kk y F	1	Insert [F] at -1	3	3	0	2	1	0	3	0	0	0	0	0	3	2	1	0	0	0	0	0	2	1	1	3	4	3	0	2	2	1	3	0	0	0	0	0	3	2	1	0	0	0	0	0	2	2	1	3	0	0	0	0
k ä t k ö	k ä t k ö F	1	Insert [F] at -1	2	1	1	0	2	1	1	0	0	0	0	0	1	0	1	1	0	1	1	0	0	2	1	1	3	1	1	0	3	2	1	0	0	0	0	0	1	0	1	1	0	1	1	0	0	3	1	1	0	0	0	0
l e s t i	l e s t i F	1	Insert [F] at -1	2	0	2	1	1	0	2	0	0	0	0	0	0	0	0	2	1	1	0	2	1	1	1	2	3	0	2	1	2	1	2	0	0	0	0	0	0	0	0	2	1	1	0	2	1	2	1	2	0	0	0	0
p y r y	p y r y F	1	Insert [F] at -1	2	2	0	2	0	0	2	0	0	0	0	0	2	2	0	0	0	0	0	0	2	0	0	2	3	2	0	2	1	1	2	0	0	0	0	0	2	2	0	0	0	0	0	0	2	1	0	2	0	0	0	0
t e s t i	t e s t i F	1	Insert [F] at -1	2	0	2	1	1	0	2	0	0	0	0	0	0	0	0	2	1	1	0	2	1	1	1	2	3	0	2	1	2	1	2	0	0	0	0	0	0	0	0	2	1	1	0	2	1	2	1	2	0	0	0	0
v i r e	v i r e F	1	Insert [F] at -1	2	0	2	1	1	0	2	0	0	0	0	0	0	0	0	2	1	1	0	2	1	1	1	2	3	0	2	1	2	1	2	0	0	0	0	0	0	0	0	2	1	1	0	2	1	2	1	2	0	0	0	0
e r s ä	e r s ä F	1	Insert [F] at -1	2	0	2	0	2	1	1	0	0	0	0	0	0	0	0	2	0	2	1	1	0	2	1	1	3	0	2	0	3	2	1	0	0	0	0	0	0	0	0	2	0	2	1	1	0	3	1	1	0	0	0	0
p yy n t ö	p yy n t ö F	1	Insert [F] at -1	3	3	0	2	1	0	3	0	0	0	0	0	3	2	1	0	0	0	0	0	2	1	1	3	4	3	0	2	2	1	3	0	0	0	0	0	3	2	1	0	0	0	0	0	2	2	1	3	0	0	0	0
s ei n ä	s ei n ä F	1	Insert [F] at -1	3	0	3	1	2	1	2	0	0	0	0	0	0	0	0	3	1	2	1	2	1	2	1	2	4	0	3	1	3	2	2	0	0	0	0	0	0	0	0	3	1	2	1	2	1	3	1	2	0	0	0	0
p ii m ä	p ii m ä F	1	Insert [F] at -1	3	0	3	2	1	1	2	0	0	0	0	0	0	0	0	3	2	1	1	2	2	1	0	2	4	0	3	2	2	2	2	0	0	0	0	0	0	0	0	3	2	1	1	2	2	2	0	2	0	0	0	0
s ä v y	s ä v y F	1	Insert [F] at -1	2	1	1	1	1	1	1	0	0	0	0	0	1	1	0	1	0	1	1	0	1	1	0	1	3	1	1	1	2	2	1	0	0	0	0	0	1	1	0	1	0	1	1	0	1	2	0	1	0	0	0	0
k i l tt i	k i l tt i F	1	Insert [F] at -1	2	0	2	2	0	0	2	0	0	0	0	0	0	0	0	2	2	0	0	2	2	0	0	2	3	0	2	2	1	1	2	0	0	0	0	0	0	0	0	2	2	0	0	2	2	1	0	2	0	0	0	0
p e ll i	p e ll i F	1	Insert [F] at -1	2	0	2	1	1	0	2	0	0	0	0	0	0	0	0	2	1	1	0	2	1	1	1	2	3	0	2	1	2	1	2	0	0	0	0	0	0	0	0	2	1	1	0	2	1	2	1	2	0	0	0	0
y l p ey s	y l p ey s F	1	Insert [F] at -1	3	2	1	2	1	0	3	0	0	0	0	0	2	2	0	1	0	1	0	1	2	1	1	3	4	2	1	2	2	1	3	0	0	0	0	0	2	2	0	1	0	1	0	1	2	2	1	3	0	0	0	0
l y h d e	l y h d e F	1	Insert [F] at -1	2	1	1	1	1	0	2	0	0	0	0	0	1	1	0	1	0	1	0	1	1	1	1	2	3	1	1	1	2	1	2	0	0	0	0	0	1	1	0	1	0	1	0	1	1	2	1	2	0	0	0	0
p i l ss i	p i l ss i F	1	Insert [F] at -1	2	0	2	2	0	0	2	0	0	0	0	0	0	0	0	2	2	0	0	2	2	0	0	2	3	0	2	2	1	1	2	0	0	0	0	0	0	0	0	2	2	0	0	2	2	1	0	2	0	0	0	0
s ä v e l	s ä v e l F	1	Insert [F] at -1	2	0	2	0	2	1	1	0	0	0	0	0	0	0	0	2	0	2	1	1	0	2	1	1	3	0	2	0	3	2	1	0	0	0	0	0	0	0	0	2	0	2	1	1	0	3	1	1	0	0	0	0
s yö pp ö	s yö pp ö F	1	Insert [F] at -1	3	3	0	1	2	0	3	0	0	0	0	0	3	1	2	0	0	0	0	0	1	2	2	3	4	3	0	1	3	1	3	0	0	0	0	0	3	1	2	0	0	0	0	0	1	3	2	3	0	0	0	0
t yy l i	t yy l i F	1	Insert [F] at -1	3	2	1	3	0	0	3	0	0	0	0	0	2	2	0	1	1	0	0	1	3	0	0	3	4	2	1	3	1	1	3	0	0	0	0	0	2	2	0	1	1	0	0	1	3	1	0	3	0	0	0	0
j ää nn e	j ää nn e F	1	Insert [F] at -1	3	0	3	0	3	2	1	0	0	0	0	0	0	0	0	3	0	3	2	1	0	3	1	1	4	0	3	0	4	3	1	0	0	0	0	0	0	0	0	3	0	3	2	1	0	4	1	1	0	0	0	0
s p r a y	s p r a y F	1	Insert [F] at -1	1	1	0	1	0	0	1	1	0	1	0	1	1	1	0	1	0	1	1	0	1	1	0	1	2	1	0	1	1	1	1	1	0	1	0	1	1	1	0	1	0	1	1	0	1	2	0	1	0	0	0	0
r ii tt i	r ii tt i F	1	Insert [F] at -1	3	0	3	3	0	0	3	0	0	0	0	0	0	0	0	3	3	0	0	3	3	0	0	3	4	0	3	3	1	1	3	0	0	0	0	0	0	0	0	3	3	0	0	3	3	1	0	3	0	0	0	0
n ä r e	n ä r e F	1	Insert [F] at -1	2	0	2	0	2	1	1	0	0	0	0	0	0	0	0	2	0	2	1	1	0	2	1	1	3	0	2	0	3	2	1	0	0	0	0	0	0	0	0	2	0	2	1	1	0	3	1	1	0	0	0	0
k öy s i	k öy s i F	1	Insert [F] at -1	3	2	1	2	1	0	3	0	0	0	0	0	2	1	1	1	1	0	0	1	2	1	1	3	4	2	1	2	2	1	3	0	0	0	0	0	2	1	1	1	1	0	0	1	2	2	1	3	0	0	0	0
v ä s y	v ä s y F	1	Insert [F] at -1	2	1	1	1	1	1	1	0	0	0	0	0	1	1	0	1	0	1	1	0	1	1	0	1	3	1	1	1	2	2	1	0	0	0	0	0	1	1	0	1	0	1	1	0	1	2	0	1	0	0	0	0
p r ä t k ä	p r ä t k ä F	1	Insert [F] at -1	2	0	2	0	2	2	0	0	0	0	0	0	0	0	0	2	0	2	2	0	0	2	0	0	3	0	2	0	3	3	0	0	0	0	0	0	0	0	0	2	0	2	2	0	0	3	0	0	0	0	0	0
p ii l i	p ii l i F	1	Insert [F] at -1	3	0	3	3	0	0	3	0	0	0	0	0	0	0	0	3	3	0	0	3	3	0	0	3	4	0	3	3	1	1	3	0	0	0	0	0	0	0	0	3	3	0	0	3	3	1	0	3	0	0	0	0
k ii nn e	k ii nn e F	1	Insert [F] at -1	3	0	3	2	1	0	3	0	0	0	0	0	0	0	0	3	2	1	0	3	2	1	1	3	4	0	3	2	2	1	3	0	0	0	0	0	0	0	0	3	2	1	0	3	2	2	1	3	0	0	0	0
k y t y	k y t y F	1	Insert [F] at -1	2	2	0	2	0	0	2	0	0	0	0	0	2	2	0	0	0	0	0	0	2	0	0	2	3	2	0	2	1	1	2	0	0	0	0	0	2	2	0	0	0	0	0	0	2	1	0	2	0	0	0	0
j ä nn e	j ä nn e F	1	Insert [F] at -1	2	0	2	0	2	1	1	0	0	0	0	0	0	0	0	2	0	2	1	1	0	2	1	1	3	0	2	0	3	2	1	0	0	0	0	0	0	0	0	2	0	2	1	1	0	3	1	1	0	0	0	0
p y s t i	p y s t i F	1	Insert [F] at -1	2	1	1	2	0	0	2	0	0	0	0	0	1	1	0	1	1	0	0	1	2	0	0	2	3	1	1	2	1	1	2	0	0	0	0	0	1	1	0	1	1	0	0	1	2	1	0	2	0	0	0	0
s ä v e l	s ä v e l F	1	Insert [F] at -1	2	0	2	0	2	1	1	0	0	0	0	0	0	0	0	2	0	2	1	1	0	2	1	1	3	0	2	0	3	2	1	0	0	0	0	0	0	0	0	2	0	2	1	1	0	3	1	1	0	0	0	0
v ie t e	v ie t e F	1	Insert [F] at -1	3	0	3	1	2	0	3	0	0	0	0	0	0	0	0	3	1	2	0	3	1	2	2	3	4	0	3	1	3	1	3	0	0	0	0	0	0	0	0	3	1	2	0	3	1	3	2	3	0	0	0	0
s ä r ä	s ä r ä F	1	Insert [F] at -1	2	0	2	0	2	2	0	0	0	0	0	0	0	0	0	2	0	2	2	0	0	2	0	0	3	0	2	0	3	3	0	0	0	0	0	0	0	0	0	2	0	2	2	0	0	3	0	0	0	0	0	0
r y s t y	r y s t y F	1	Insert [F] at -1	2	2	0	2	0	0	2	0	0	0	0	0	2	2	0	0	0	0	0	0	2	0	0	2	3	2	0	2	1	1	2	0	0	0	0	0	2	2	0	0	0	0	0	0	2	1	0	2	0	0	0	0
s y k l i	s y k l i F	1	Insert [F] at -1	2	1	1	2	0	0	2	0	0	0	0	0	1	1	0	1	1	0	0	1	2	0	0	2	3	1	1	2	1	1	2	0	0	0	0	0	1	1	0	1	1	0	0	1	2	1	0	2	0	0	0	0
e l j e	e l j e F	1	Insert [F] at -1	2	0	2	0	2	0	2	0	0	0	0	0	0	0	0	2	0	2	0	2	0	2	2	2	3	0	2	0	3	1	2	0	0	0	0	0	0	0	0	2	0	2	0	2	0	3	2	2	0	0	0	0
n yy ss i	n yy ss i F	1	Insert [F] at -1	3	2	1	3	0	0	3	0	0	0	0	0	2	2	0	1	1	0	0	1	3	0	0	3	4	2	1	3	1	1	3	0	0	0	0	0	2	2	0	1	1	0	0	1	3	1	0	3	0	0	0	0
t e r e	t e r e F	1	Insert [F] at -1	2	0	2	0	2	0	2	0	0	0	0	0	0	0	0	2	0	2	0	2	0	2	2	2	3	0	2	0	3	1	2	0	0	0	0	0	0	0	0	2	0	2	0	2	0	3	2	2	0	0	0	0
t yy n ey s	t yy n ey s F	1	Insert [F] at -1	4	3	1	3	1	0	4	0	0	0	0	0	3	3	0	1	0	1	0	1	3	1	1	4	5	3	1	3	2	1	4	0	0	0	0	0	3	3	0	1	0	1	0	1	3	2	1	4	0	0	0	0
j ää nn ö s	j ää nn ö s F	1	Insert [F] at -1	3	1	2	0	3	2	1	0	0	0	0	0	1	0	1	2	0	2	2	0	0	3	1	1	4	1	2	0	4	3	1	0	0	0	0	0	1	0	1	2	0	2	2	0	0	4	1	1	0	0	0	0
s i n i	s i n i F	1	Insert [F] at -1	2	0	2	2	0	0	2	0	0	0	0	0	0	0	0	2	2	0	0	2	2	0	0	2	3	0	2	2	1	1	2	0	0	0	0	0	0	0	0	2	2	0	0	2	2	1	0	2	0	0	0	0
r i p s i	r i p s i F	1	Insert [F] at -1	2	0	2	2	0	0	2	0	0	0	0	0	0	0	0	2	2	0	0	2	2	0	0	2	3	0	2	2	1	1	2	0	0	0	0	0	0	0	0	2	2	0	0	2	2	1	0	2	0	0	0	0
v i r p i	v i r p i F	1	Insert [F] at -1	2	0	2	2	0	0	2	0	0	0	0	0	0	0	0	2	2	0	0	2	2	0	0	2	3	0	2	2	1	1	2	0	0	0	0	0	0	0	0	2	2	0	0	2	2	1	0	2	0	0	0	0
p ii r i	p ii r i F	1	Insert [F] at -1	3	0	3	3	0	0	3	0	0	0	0	0	0	0	0	3	3	0	0	3	3	0	0	3	4	0	3	3	1	1	3	0	0	0	0	0	0	0	0	3	3	0	0	3	3	1	0	3	0	0	0	0
k i m p i	k i m p i F	1	Insert [F] at -1	2	0	2	2	0	0	2	0	0	0	0	0	0	0	0	2	2	0	0	2	2	0	0	2	3	0	2	2	1	1	2	0	0	0	0	0	0	0	0	2	2	0	0	2	2	1	0	2	0	0	0	0
f i l ee	f i l ee F	1	Insert [F] at -1	3	0	3	1	2	0	3	0	0	0	0	0	0	0	0	3	1	2	0	3	1	2	2	3	4	0	3	1	3	1	3	0	0	0	0	0	0	0	0	3	1	2	0	3	1	3	2	3	0	0	0	0
n ä r h i	n ä r h i F	1	Insert [F] at -1	2	0	2	1	1	1	1	0	0	0	0	0	0	0	0	2	1	1	1	1	1	1	0	1	3	0	2	1	2	2	1	0	0	0	0	0	0	0	0	2	1	1	1	1	1	2	0	1	0	0	0	0
s äi h k y	s äi h k y F	1	Insert [F] at -1	3	1	2	2	1	1	2	0	0	0	0	0	1	1	0	2	1	1	1	1	2	1	0	2	4	1	2	2	2	2	2	0	0	0	0	0	1	1	0	2	1	1	1	1	2	2	0	2	0	0	0	0
s ää d e	s ää d e F	1	Insert [F] at -1	3	0	3	0	3	2	1	0	0	0	0	0	0	0	0	3	0	3	2	1	0	3	1	1	4	0	3	0	4	3	1	0	0	0	0	0	0	0	0	3	0	3	2	1	0	4	1	1	0	0	0	0
k y l p y	k y l p y F	1	Insert [F] at -1	2	2	0	2	0	0	2	0	0	0	0	0	2	2	0	0	0	0	0	0	2	0	0	2	3	2	0	2	1	1	2	0	0	0	0	0	2	2	0	0	0	0	0	0	2	1	0	2	0	0	0	0
h e t e	h e t e F	1	Insert [F] at -1	2	0	2	0	2	0	2	0	0	0	0	0	0	0	0	2	0	2	0	2	0	2	2	2	3	0	2	0	3	1	2	0	0	0	0	0	0	0	0	2	0	2	0	2	0	3	2	2	0	0	0	0
k ä r k i	k ä r k i F	1	Insert [F] at -1	2	0	2	1	1	1	1	0	0	0	0	0	0	0	0	2	1	1	1	1	1	1	0	1	3	0	2	1	2	2	1	0	0	0	0	0	0	0	0	2	1	1	1	1	1	2	0	1	0	0	0	0
m y r kk y	m y r kk y F	1	Insert [F] at -1	2	2	0	2	0	0	2	0	0	0	0	0	2	2	0	0	0	0	0	0	2	0	0	2	3	2	0	2	1	1	2	0	0	0	0	0	2	2	0	0	0	0	0	0	2	1	0	2	0	0	0	0
v ie t e	v ie t e F	1	Insert [F] at -1	3	0	3	1	2	0	3	0	0	0	0	0	0	0	0	3	1	2	0	3	1	2	2	3	4	0	3	1	3	1	3	0	0	0	0	0	0	0	0	3	1	2	0	3	1	3	2	3	0	0	0	0
k e r äy s	k e r äy s F	1	Insert [F] at -1	3	1	2	1	2	1	2	0	0	0	0	0	1	1	0	2	0	2	1	1	1	2	1	2	4	1	2	1	3	2	2	0	0	0	0	0	1	1	0	2	0	2	1	1	1	3	1	2	0	0	0	0
v i l s k e	v i l s k e F	1	Insert [F] at -1	2	0	2	1	1	0	2	0	0	0	0	0	0	0	0	2	1	1	0	2	1	1	1	2	3	0	2	1	2	1	2	0	0	0	0	0	0	0	0	2	1	1	0	2	1	2	1	2	0	0	0	0
t r i kk i	t r i kk i F	1	Insert [F] at -1	2	0	2	2	0	0	2	0	0	0	0	0	0	0	0	2	2	0	0	2	2	0	0	2	3	0	2	2	1	1	2	0	0	0	0	0	0	0	0	2	2	0	0	2	2	1	0	2	0	0	0	0
s yy n i	s yy n i F	1	Insert [F] at -1	3	2	1	3	0	0	3	0	0	0	0	0	2	2	0	1	1	0	0	1	3	0	0	3	4	2	1	3	1	1	3	0	0	0	0	0	2	2	0	1	1	0	0	1	3	1	0	3	0	0	0	0
t ö ll ö	t ö ll ö F	1	Insert [F] at -1	2	2	0	0	2	0	2	0	0	0	0	0	2	0	2	0	0	0	0	0	0	2	2	2	3	2	0	0	3	1	2	0	0	0	0	0	2	0	2	0	0	0	0	0	0	3	2	2	0	0	0	0
p ää t e	p ää t e F	1	Insert [F] at -1	3	0	3	0	3	2	1	0	0	0	0	0	0	0	0	3	0	3	2	1	0	3	1	1	4	0	3	0	4	3	1	0	0	0	0	0	0	0	0	3	0	3	2	1	0	4	1	1	0	0	0	0
v i r h e	v i r h e F	1	Insert [F] at -1	2	0	2	1	1	0	2	0	0	0	0	0	0	0	0	2	1	1	0	2	1	1	1	2	3	0	2	1	2	1	2	0	0	0	0	0	0	0	0	2	1	1	0	2	1	2	1	2	0	0	0	0
p i s t e	p i s t e F	1	Insert [F] at -1	2	0	2	1	1	0	2	0	0	0	0	0	0	0	0	2	1	1	0	2	1	1	1	2	3	0	2	1	2	1	2	0	0	0	0	0	0	0	0	2	1	1	0	2	1	2	1	2	0	0	0	0
n ä kk i	n ä kk i F	1	Insert [F] at -1	2	0	2	1	1	1	1	0	0	0	0	0	0	0	0	2	1	1	1	1	1	1	0	1	3	0	2	1	2	2	1	0	0	0	0	0	0	0	0	2	1	1	1	1	1	2	0	1	0	0	0	0
v i l pp i	v i l pp i F	1	Insert [F] at -1	2	0	2	2	0	0	2	0	0	0	0	0	0	0	0	2	2	0	0	2	2	0	0	2	3	0	2	2	1	1	2	0	0	0	0	0	0	0	0	2	2	0	0	2	2	1	0	2	0	0	0	0
k äy tt ö	k äy tt ö F	1	Insert [F] at -1	3	2	1	1	2	1	2	0	0	0	0	0	2	1	1	1	0	1	1	0	1	2	1	2	4	2	1	1	3	2	2	0	0	0	0	0	2	1	1	1	0	1	1	0	1	3	1	2	0	0	0	0
s v ii tt i	s v ii tt i F	1	Insert [F] at -1	3	0	3	3	0	0	3	0	0	0	0	0	0	0	0	3	3	0	0	3	3	0	0	3	4	0	3	3	1	1	3	0	0	0	0	0	0	0	0	3	3	0	0	3	3	1	0	3	0	0	0	0
s y n kk yy s	s y n kk yy s F	1	Insert [F] at -1	3	3	0	3	0	0	3	0	0	0	0	0	3	3	0	0	0	0	0	0	3	0	0	3	4	3	0	3	1	1	3	0	0	0	0	0	3	3	0	0	0	0	0	0	3	1	0	3	0	0	0	0
b r ä n d i	b r ä n d i F	1	Insert [F] at -1	2	0	2	1	1	1	1	0	0	0	0	0	0	0	0	2	1	1	1	1	1	1	0	1	3	0	2	1	2	2	1	0	0	0	0	0	0	0	0	2	1	1	1	1	1	2	0	1	0	0	0	0
s y l k i	s y l k i F	1	Insert [F] at -1	2	1	1	2	0	0	2	0	0	0	0	0	1	1	0	1	1	0	0	1	2	0	0	2	3	1	1	2	1	1	2	0	0	0	0	0	1	1	0	1	1	0	0	1	2	1	0	2	0	0	0	0
k r ii s i	k r ii s i F	1	Insert [F] at -1	3	0	3	3	0	0	3	0	0	0	0	0	0	0	0	3	3	0	0	3	3	0	0	3	4	0	3	3	1	1	3	0	0	0	0	0	0	0	0	3	3	0	0	3	3	1	0	3	0	0	0	0
e l e	e l e F	1	Insert [F] at -1	2	0	2	0	2	0	2	0	0	0	0	0	0	0	0	2	0	2	0	2	0	2	2	2	3	0	2	0	3	1	2	0	0	0	0	0	0	0	0	2	0	2	0	2	0	3	2	2	0	0	0	0
l i k i	l i k i F	1	Insert [F] at -1	2	0	2	2	0	0	2	0	0	0	0	0	0	0	0	2	2	0	0	2	2	0	0	2	3	0	2	2	1	1	2	0	0	0	0	0	0	0	0	2	2	0	0	2	2	1	0	2	0	0	0	0
k i r pp i s	k i r pp i s F	1	Insert [F] at -1	2	0	2	2	0	0	2	0	0	0	0	0	0	0	0	2	2	0	0	2	2	0	0	2	3	0	2	2	1	1	2	0	0	0	0	0	0	0	0	2	2	0	0	2	2	1	0	2	0	0	0	0
r ä h m ä	r ä h m ä F	1	Insert [F] at -1	2	0	2	0	2	2	0	0	0	0	0	0	0	0	0	2	0	2	2	0	0	2	0	0	3	0	2	0	3	3	0	0	0	0	0	0	0	0	0	2	0	2	2	0	0	3	0	0	0	0	0	0
b ii tt i	b ii tt i F	1	Insert [F] at -1	3	0	3	3	0	0	3	0	0	0	0	0	0	0	0	3	3	0	0	3	3	0	0	3	4	0	3	3	1	1	3	0	0	0	0	0	0	0	0	3	3	0	0	3	3	1	0	3	0	0	0	0
h e l k e	h e l k e F	1	Insert [F] at -1	2	0	2	0	2	0	2	0	0	0	0	0	0	0	0	2	0	2	0	2	0	2	2	2	3	0	2	0	3	1	2	0	0	0	0	0	0	0	0	2	0	2	0	2	0	3	2	2	0	0	0	0
v e ll i	v e ll i F	1	Insert [F] at -1	2	0	2	1	1	0	2	0	0	0	0	0	0	0	0	2	1	1	0	2	1	1	1	2	3	0	2	1	2	1	2	0	0	0	0	0	0	0	0	2	1	1	0	2	1	2	1	2	0	0	0	0
h i t s i	h i t s i F	1	Insert [F] at -1	2	0	2	2	0	0	2	0	0	0	0	0	0	0	0	2	2	0	0	2	2	0	0	2	3	0	2	2	1	1	2	0	0	0	0	0	0	0	0	2	2	0	0	2	2	1	0	2	0	0	0	0
k y t k i n	k y t k i n F	1	Insert [F] at -1	2	1	1	2	0	0	2	0	0	0	0	0	1	1	0	1	1	0	0	1	2	0	0	2	3	1	1	2	1	1	2	0	0	0	0	0	1	1	0	1	1	0	0	1	2	1	0	2	0	0	0	0
h e l p i	h e l p i F	1	Insert [F] at -1	2	0	2	1	1	0	2	0	0	0	0	0	0	0	0	2	1	1	0	2	1	1	1	2	3	0	2	1	2	1	2	0	0	0	0	0	0	0	0	2	1	1	0	2	1	2	1	2	0	0	0	0
k r ee m i	k r ee m i F	1	Insert [F] at -1	3	0	3	1	2	0	3	0	0	0	0	0	0	0	0	3	1	2	0	3	1	2	2	3	4	0	3	1	3	1	3	0	0	0	0	0	0	0	0	3	1	2	0	3	1	3	2	3	0	0	0	0
k ie pp i	k ie pp i F	1	Insert [F] at -1	3	0	3	2	1	0	3	0	0	0	0	0	0	0	0	3	2	1	0	3	2	1	1	3	4	0	3	2	2	1	3	0	0	0	0	0	0	0	0	3	2	1	0	3	2	2	1	3	0	0	0	0
r y t m i s	r y t m i s F	1	Insert [F] at -1	2	1	1	2	0	0	2	0	0	0	0	0	1	1	0	1	1	0	0	1	2	0	0	2	3	1	1	2	1	1	2	0	0	0	0	0	1	1	0	1	1	0	0	1	2	1	0	2	0	0	0	0
h o bb y	h o bb y F	1	Insert [F] at -1	1	1	0	1	0	0	1	1	1	0	0	1	2	1	1	0	0	0	0	0	1	1	1	2	2	1	0	1	1	1	1	1	1	0	0	1	2	1	1	0	0	0	0	0	1	2	1	2	0	0	0	0
s yö tt i	s yö tt i F	1	Insert [F] at -1	3	2	1	2	1	0	3	0	0	0	0	0	2	1	1	1	1	0	0	1	2	1	1	3	4	2	1	2	2	1	3	0	0	0	0	0	2	1	1	1	1	0	0	1	2	2	1	3	0	0	0	0
j ä t s k i	j ä t s k i F	1	Insert [F] at -1	2	0	2	1	1	1	1	0	0	0	0	0	0	0	0	2	1	1	1	1	1	1	0	1	3	0	2	1	2	2	1	0	0	0	0	0	0	0	0	2	1	1	1	1	1	2	0	1	0	0	0	0
t y n k ä	t y n k ä F	1	Insert [F] at -1	2	1	1	1	1	1	1	0	0	0	0	0	1	1	0	1	0	1	1	0	1	1	0	1	3	1	1	1	2	2	1	0	0	0	0	0	1	1	0	1	0	1	1	0	1	2	0	1	0	0	0	0
s ä l ä	s ä l ä F	1	Insert [F] at -1	2	0	2	0	2	2	0	0	0	0	0	0	0	0	0	2	0	2	2	0	0	2	0	0	3	0	2	0	3	3	0	0	0	0	0	0	0	0	0	2	0	2	2	0	0	3	0	0	0	0	0	0
m i mm i	m i mm i F	1	Insert [F] at -1	2	0	2	2	0	0	2	0	0	0	0	0	0	0	0	2	2	0	0	2	2	0	0	2	3	0	2	2	1	1	2	0	0	0	0	0	0	0	0	2	2	0	0	2	2	1	0	2	0	0	0	0
l ö p ö	l ö p ö F	1	Insert [F] at -1	2	2	0	0	2	0	2	0	0	0	0	0	2	0	2	0	0	0	0	0	0	2	2	2	3	2	0	0	3	1	2	0	0	0	0	0	2	0	2	0	0	0	0	0	0	3	2	2	0	0	0	0
v ä l i	v ä l i F	1	Insert [F] at -1	2	0	2	1	1	1	1	0	0	0	0	0	0	0	0	2	1	1	1	1	1	1	0	1	3	0	2	1	2	2	1	0	0	0	0	0	0	0	0	2	1	1	1	1	1	2	0	1	0	0	0	0
